humanRL_gym_ple/dqn_ple.py:131: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
humanRL_gym_ple/dqn_ple.py:184: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  82 | Ep_r:  0.0 | Steps:  23 | Total Steps:  2901 | Ep_Loss: 0.8183
Ep:  83 | Ep_r:  0.0 | Steps:  24 | Total Steps:  2926 | Ep_Loss: 1.0072
Ep:  84 | Ep_r:  0.0 | Steps:  22 | Total Steps:  2949 | Ep_Loss: 0.8366
Ep:  85 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2955 | Ep_Loss: 0.2385
Ep:  86 | Ep_r:  0.0 | Steps:  39 | Total Steps:  2995 | Ep_Loss: 1.4111
Ep:  87 | Ep_r:  0.0 | Steps:  40 | Total Steps:  3036 | Ep_Loss: 1.4939
Ep:  88 | Ep_r:  0.0 | Steps:  23 | Total Steps:  3060 | Ep_Loss: 0.9013
Ep:  89 | Ep_r:  0.0 | Steps:  48 | Total Steps:  3109 | Ep_Loss: 1.8548
Ep:  90 | Ep_r:  0.0 | Steps:  14 | Total Steps:  3124 | Ep_Loss: 0.5942
Ep:  91 | Ep_r:  0.0 | Steps:  46 | Total Steps:  3171 | Ep_Loss: 1.8512
Ep:  92 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3194 | Ep_Loss: 0.8399
Ep:  93 | Ep_r:  0.0 | Steps:  43 | Total Steps:  3238 | Ep_Loss: 1.7983
Ep:  94 | Ep_r:  0.0 | Steps:  133 | Total Steps:  3372 | Ep_Loss: 5.3197
Ep:  95 | Ep_r:  0.0 | Steps:  112 | Total Steps:  3485 | Ep_Loss: 4.6470
Ep:  96 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3508 | Ep_Loss: 0.9672
Ep:  97 | Ep_r:  0.0 | Steps:  130 | Total Steps:  3639 | Ep_Loss: 5.6146
Ep:  98 | Ep_r:  0.0 | Steps:  41 | Total Steps:  3681 | Ep_Loss: 1.8901
Ep:  99 | Ep_r:  0.0 | Steps:  58 | Total Steps:  3740 | Ep_Loss: 2.5219
Ep:  100 | Ep_r:  0.0 | Steps:  24 | Total Steps:  3765 | Ep_Loss: 1.0152
Ep:  101 | Ep_r:  0.0 | Steps:  23 | Total Steps:  3789 | Ep_Loss: 1.0630
Ep:  102 | Ep_r:  0.0 | Steps:  41 | Total Steps:  3831 | Ep_Loss: 1.7220
Ep:  103 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3854 | Ep_Loss: 1.0939
Ep:  104 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3877 | Ep_Loss: 0.9985
Ep:  105 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3900 | Ep_Loss: 0.9543
Ep:  106 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3923 | Ep_Loss: 1.0143
Ep:  107 | Ep_r:  0.0 | Steps:  42 | Total Steps:  3966 | Ep_Loss: 1.9517
