humanRL_gym_ple/dqn_ple.py:128: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
humanRL_gym_ple/dqn_ple.py:156: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  90 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3454 | Ep_Loss: 0.3701
Ep:  91 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3460 | Ep_Loss: 0.3361
Ep:  92 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3483 | Ep_Loss: 1.2591
Ep:  93 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3489 | Ep_Loss: 0.2812
Ep:  94 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3495 | Ep_Loss: 0.3611
Ep:  95 | Ep_r:  0.0 | Steps:  113 | Total Steps:  3609 | Ep_Loss: 6.2461
Ep:  96 | Ep_r:  0.0 | Steps:  24 | Total Steps:  3634 | Ep_Loss: 1.5675
Ep:  97 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3640 | Ep_Loss: 0.3022
Ep:  98 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3646 | Ep_Loss: 0.3111
Ep:  99 | Ep_r:  0.0 | Steps:  49 | Total Steps:  3696 | Ep_Loss: 2.7284
Ep:  100 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3702 | Ep_Loss: 0.3751
Ep:  101 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3725 | Ep_Loss: 1.2594
Ep:  102 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3731 | Ep_Loss: 0.3447
Ep:  103 | Ep_r:  0.0 | Steps:  23 | Total Steps:  3755 | Ep_Loss: 1.3564
Ep:  104 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3761 | Ep_Loss: 0.3011
Ep:  105 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3767 | Ep_Loss: 0.3218
Ep:  106 | Ep_r:  0.0 | Steps:  23 | Total Steps:  3791 | Ep_Loss: 1.2788
Ep:  107 | Ep_r:  0.0 | Steps:  26 | Total Steps:  3818 | Ep_Loss: 1.4511
Ep:  108 | Ep_r:  0.0 | Steps:  39 | Total Steps:  3858 | Ep_Loss: 2.2638
Ep:  109 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3864 | Ep_Loss: 0.3373
Ep:  110 | Ep_r:  0.0 | Steps:  23 | Total Steps:  3888 | Ep_Loss: 1.3828
Ep:  111 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3911 | Ep_Loss: 1.3611
Ep:  112 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3917 | Ep_Loss: 0.2805
Ep:  113 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3923 | Ep_Loss: 0.3390
Ep:  114 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3929 | Ep_Loss: 0.3481
Ep:  115 | Ep_r:  0.0 | Steps:  86 | Total Steps:  4016 | Ep_Loss: 5.2509
Ep:  116 | Ep_r:  0.0 | Steps:  22 | Total Steps:  4039 | Ep_Loss: 1.3371
Ep:  117 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4045 | Ep_Loss: 0.3874
Ep:  118 | Ep_r:  0.0 | Steps:  26 | Total Steps:  4072 | Ep_Loss: 1.5560
Ep:  119 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4078 | Ep_Loss: 0.3756
Ep:  120 | Ep_r:  0.0 | Steps:  96 | Total Steps:  4175 | Ep_Loss: 6.0372
Ep:  121 | Ep_r:  0.0 | Steps:  24 | Total Steps:  4200 | Ep_Loss: 1.7139
Ep:  122 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4206 | Ep_Loss: 0.3801
Ep:  123 | Ep_r:  0.0 | Steps:  77 | Total Steps:  4284 | Ep_Loss: 5.2312
Ep:  124 | Ep_r:  0.0 | Steps:  22 | Total Steps:  4307 | Ep_Loss: 1.5320
Ep:  125 | Ep_r:  0.0 | Steps:  24 | Total Steps:  4332 | Ep_Loss: 1.7587
Ep:  126 | Ep_r:  0.0 | Steps:  59 | Total Steps:  4392 | Ep_Loss: 4.0164
Ep:  127 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4398 | Ep_Loss: 0.4073
Ep:  128 | Ep_r:  1.0 | Steps:  95 | Total Steps:  4494 | Ep_Loss: 6.4681
Ep:  129 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4500 | Ep_Loss: 0.3950
Ep:  130 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4506 | Ep_Loss: 0.4878
Ep:  131 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4512 | Ep_Loss: 0.3947
Ep:  132 | Ep_r:  1.0 | Steps:  148 | Total Steps:  4661 | Ep_Loss: 10.0040
Ep:  133 | Ep_r:  0.0 | Steps:  22 | Total Steps:  4684 | Ep_Loss: 1.4251
Ep:  134 | Ep_r:  0.0 | Steps:  75 | Total Steps:  4760 | Ep_Loss: 4.9309
Ep:  135 | Ep_r:  0.0 | Steps:  23 | Total Steps:  4784 | Ep_Loss: 1.5532
Ep:  136 | Ep_r:  0.0 | Steps:  41 | Total Steps:  4826 | Ep_Loss: 2.5909
Ep:  137 | Ep_r:  1.0 | Steps:  137 | Total Steps:  4964 | Ep_Loss: 8.4933
Ep:  138 | Ep_r:  1.0 | Steps:  65 | Total Steps:  5030 | Ep_Loss: 4.0064
Ep:  139 | Ep_r:  1.0 | Steps:  58 | Total Steps:  5089 | Ep_Loss: 3.4756
Ep:  140 | Ep_r:  1.0 | Steps:  143 | Total Steps:  5233 | Ep_Loss: 8.3385
Ep:  141 | Ep_r:  1.0 | Steps:  155 | Total Steps:  5389 | Ep_Loss: 9.0692
Ep:  142 | Ep_r:  1.0 | Steps:  44 | Total Steps:  5434 | Ep_Loss: 2.7035
Ep:  143 | Ep_r:  1.0 | Steps:  159 | Total Steps:  5594 | Ep_Loss: 9.2085
Ep:  144 | Ep_r:  1.0 | Steps:  65 | Total Steps:  5660 | Ep_Loss: 4.0477
Ep:  145 | Ep_r:  1.0 | Steps:  69 | Total Steps:  5730 | Ep_Loss: 4.1831
Ep:  146 | Ep_r:  1.0 | Steps:  29 | Total Steps:  5760 | Ep_Loss: 1.9195
Ep:  147 | Ep_r:  0.0 | Steps:  11 | Total Steps:  5772 | Ep_Loss: 0.7254
Ep:  148 | Ep_r:  1.0 | Steps:  131 | Total Steps:  5904 | Ep_Loss: 7.9466
Ep:  149 | Ep_r:  0.0 | Steps:  199 | Total Steps:  6104 | Ep_Loss: 12.2586
Ep:  150 | Ep_r:  0.0 | Steps:  199 | Total Steps:  6304 | Ep_Loss: 12.6749
Ep:  151 | Ep_r:  0.0 | Steps:  24 | Total Steps:  6329 | Ep_Loss: 1.5683
Ep:  152 | Ep_r:  0.0 | Steps:  40 | Total Steps:  6370 | Ep_Loss: 2.7315
Ep:  153 | Ep_r:  0.0 | Steps:  92 | Total Steps:  6463 | Ep_Loss: 5.8691
Ep:  154 | Ep_r:  0.0 | Steps:  79 | Total Steps:  6543 | Ep_Loss: 5.1853
Ep:  155 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6549 | Ep_Loss: 0.3948
Ep:  156 | Ep_r:  0.0 | Steps:  58 | Total Steps:  6608 | Ep_Loss: 3.9169
Ep:  157 | Ep_r:  0.0 | Steps:  22 | Total Steps:  6631 | Ep_Loss: 1.5787
Ep:  158 | Ep_r:  0.0 | Steps:  22 | Total Steps:  6654 | Ep_Loss: 1.5145
Ep:  159 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6660 | Ep_Loss: 0.4206
Ep:  160 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6666 | Ep_Loss: 0.3508
Ep:  161 | Ep_r:  0.0 | Steps:  90 | Total Steps:  6757 | Ep_Loss: 5.8001
Ep:  162 | Ep_r:  0.0 | Steps:  41 | Total Steps:  6799 | Ep_Loss: 2.7636
Ep:  163 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6805 | Ep_Loss: 0.3918
Ep:  164 | Ep_r:  0.0 | Steps:  22 | Total Steps:  6828 | Ep_Loss: 1.5164
Ep:  165 | Ep_r:  0.0 | Steps:  23 | Total Steps:  6852 | Ep_Loss: 1.5572
Ep:  166 | Ep_r:  0.0 | Steps:  93 | Total Steps:  6946 | Ep_Loss: 6.1570
Ep:  167 | Ep_r:  0.0 | Steps:  41 | Total Steps:  6988 | Ep_Loss: 2.7055
Ep:  168 | Ep_r:  0.0 | Steps:  48 | Total Steps:  7037 | Ep_Loss: 3.1172
Ep:  169 | Ep_r:  0.0 | Steps:  27 | Total Steps:  7065 | Ep_Loss: 1.8656
Ep:  170 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7071 | Ep_Loss: 0.3720
Ep:  171 | Ep_r:  0.0 | Steps:  40 | Total Steps:  7112 | Ep_Loss: 2.8428
Ep:  172 | Ep_r:  0.0 | Steps:  17 | Total Steps:  7130 | Ep_Loss: 1.2506
Ep:  173 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7136 | Ep_Loss: 0.4021
Ep:  174 | Ep_r:  0.0 | Steps:  22 | Total Steps:  7159 | Ep_Loss: 1.5087
Ep:  175 | Ep_r:  0.0 | Steps:  22 | Total Steps:  7182 | Ep_Loss: 1.5249
Ep:  176 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7188 | Ep_Loss: 0.4195
Ep:  177 | Ep_r:  0.0 | Steps:  82 | Total Steps:  7271 | Ep_Loss: 5.2807
Ep:  178 | Ep_r:  0.0 | Steps:  12 | Total Steps:  7284 | Ep_Loss: 0.8281
Ep:  179 | Ep_r:  0.0 | Steps:  108 | Total Steps:  7393 | Ep_Loss: 7.2205
Ep:  180 | Ep_r:  0.0 | Steps:  16 | Total Steps:  7410 | Ep_Loss: 1.2490
Ep:  181 | Ep_r:  0.0 | Steps:  56 | Total Steps:  7467 | Ep_Loss: 3.8477
Ep:  182 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7473 | Ep_Loss: 0.3432
Ep:  183 | Ep_r:  0.0 | Steps:  16 | Total Steps:  7490 | Ep_Loss: 1.1378
Ep:  184 | Ep_r:  0.0 | Steps:  16 | Total Steps:  7507 | Ep_Loss: 1.1361
Ep:  185 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7513 | Ep_Loss: 0.3960
Ep:  186 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7519 | Ep_Loss: 0.3979
Ep:  187 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7525 | Ep_Loss: 0.4561
Ep:  188 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7531 | Ep_Loss: 0.4377
Ep:  189 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7537 | Ep_Loss: 0.3813
Ep:  190 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7543 | Ep_Loss: 0.4027
Ep:  191 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7549 | Ep_Loss: 0.4331
Ep:  192 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7555 | Ep_Loss: 0.4139
Ep:  193 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7561 | Ep_Loss: 0.3741
Ep:  194 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7567 | Ep_Loss: 0.4494
Ep:  195 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7573 | Ep_Loss: 0.3801
Ep:  196 | Ep_r:  0.0 | Steps:  76 | Total Steps:  7650 | Ep_Loss: 5.1788
Ep:  197 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7656 | Ep_Loss: 0.3569
Ep:  198 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7662 | Ep_Loss: 0.3672
Ep:  199 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7668 | Ep_Loss: 0.3563
Ep:  200 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7674 | Ep_Loss: 0.4663
Ep:  201 | Ep_r:  0.0 | Steps:  11 | Total Steps:  7686 | Ep_Loss: 0.7558
Ep:  202 | Ep_r:  0.0 | Steps:  22 | Total Steps:  7709 | Ep_Loss: 1.5292
Ep:  203 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7715 | Ep_Loss: 0.3858
Ep:  204 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7721 | Ep_Loss: 0.3859
Ep:  205 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7727 | Ep_Loss: 0.3648
Ep:  206 | Ep_r:  0.0 | Steps:  13 | Total Steps:  7741 | Ep_Loss: 0.8574
Ep:  207 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7747 | Ep_Loss: 0.4195
Ep:  208 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7753 | Ep_Loss: 0.3814
Ep:  209 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7759 | Ep_Loss: 0.4068
Ep:  210 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7765 | Ep_Loss: 0.3783
Ep:  211 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7771 | Ep_Loss: 0.3483
Ep:  212 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7777 | Ep_Loss: 0.4129
Ep:  213 | Ep_r:  0.0 | Steps:  14 | Total Steps:  7792 | Ep_Loss: 1.0047
Ep:  214 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7798 | Ep_Loss: 0.3817
Ep:  215 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7804 | Ep_Loss: 0.3428
Ep:  216 | Ep_r:  0.0 | Steps:  91 | Total Steps:  7896 | Ep_Loss: 5.8165
Ep:  217 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7902 | Ep_Loss: 0.3658
Ep:  218 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7908 | Ep_Loss: 0.3789
Ep:  219 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7914 | Ep_Loss: 0.3897
Ep:  220 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7920 | Ep_Loss: 0.3689
Ep:  221 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7926 | Ep_Loss: 0.4546
Ep:  222 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7932 | Ep_Loss: 0.3795
Ep:  223 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7938 | Ep_Loss: 0.3050
Ep:  224 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7944 | Ep_Loss: 0.3077
Ep:  225 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7950 | Ep_Loss: 0.3630
Ep:  226 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7956 | Ep_Loss: 0.3969
Ep:  227 | Ep_r:  0.0 | Steps:  11 | Total Steps:  7968 | Ep_Loss: 0.7160
Ep:  228 | Ep_r:  0.0 | Steps:  23 | Total Steps:  7992 | Ep_Loss: 1.4132
Ep:  229 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7998 | Ep_Loss: 0.3808
Ep:  230 | Ep_r:  0.0 | Steps:  5 | Total Steps:  8004 | Ep_Loss: 0.3317
Ep:  231 | Ep_r:  0.0 | Steps:  5 | Total Steps:  8010 | Ep_Loss: 0.3116
Ep:  232 | Ep_r:  0.0 | Steps:  5 | Total Steps:  8016 | Ep_Loss: 0.3648
Ep:  233 | Ep_r:  0.0 | Steps:  5 | Total Steps:  8022 | Ep_Loss: 0.3904
Ep:  234 | Ep_r:  0.0 | Steps:  23 | Total Steps:  8046 | Ep_Loss: 1.5216
Ep:  235 | Ep_r:  0.0 | Steps:  5 | Total Steps:  8052 | Ep_Loss: 0.3559
Ep:  236 | Ep_r:  0.0 | Steps:  24 | Total Steps:  8077 | Ep_Loss: 1.5657
Ep:  237 | Ep_r:  0.0 | Steps:  5 | Total Steps:  8083 | Ep_Loss: 0.3370
Ep:  238 | Ep_r:  0.0 | Steps:  59 | Total Steps:  8143 | Ep_Loss: 3.5408
Ep:  239 | Ep_r:  0.0 | Steps:  5 | Total Steps:  8149 | Ep_Loss: 0.4155
Ep:  240 | Ep_r:  0.0 | Steps:  5 | Total Steps:  8155 | Ep_Loss: 0.3531
Ep:  241 | Ep_r:  0.0 | Steps:  42 | Total Steps:  8198 | Ep_Loss: 2.5786
Ep:  242 | Ep_r:  0.0 | Steps:  5 | Total Steps:  8204 | Ep_Loss: 0.3244
Ep:  243 | Ep_r:  0.0 | Steps:  5 | Total Steps:  8210 | Ep_Loss: 0.3311
Ep:  244 | Ep_r:  0.0 | Steps:  5 | Total Steps:  8216 | Ep_Loss: 0.3561
Ep:  245 | Ep_r:  0.0 | Steps:  5 | Total Steps:  8222 | Ep_Loss: 0.3292
Ep:  246 | Ep_r:  0.0 | Steps:  5 | Total Steps:  8228 | Ep_Loss: 0.3744
Ep:  247 | Ep_r:  0.0 | Steps:  5 | Total Steps:  8234 | Ep_Loss: 0.3630
Ep:  248 | Ep_r:  0.0 | Steps:  5 | Total Steps:  8240 | Ep_Loss: 0.3371
