humanRL_gym_ple/dqn_ple.py:131: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
humanRL_gym_ple/dqn_ple.py:159: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  101 | Ep_r:  1.0 | Steps:  37 | Total Steps:  4185 | Ep_Loss: 4.6999
Ep:  102 | Ep_r:  1.0 | Steps:  20 | Total Steps:  4206 | Ep_Loss: 2.4116
Ep:  103 | Ep_r:  1.0 | Steps:  36 | Total Steps:  4243 | Ep_Loss: 4.6199
Ep:  104 | Ep_r:  0.0 | Steps:  28 | Total Steps:  4272 | Ep_Loss: 3.7370
Ep:  105 | Ep_r:  0.0 | Steps:  24 | Total Steps:  4297 | Ep_Loss: 3.2090
Ep:  106 | Ep_r:  0.0 | Steps:  24 | Total Steps:  4322 | Ep_Loss: 2.7904
Ep:  107 | Ep_r:  1.0 | Steps:  26 | Total Steps:  4349 | Ep_Loss: 2.9750
Ep:  108 | Ep_r:  1.0 | Steps:  30 | Total Steps:  4380 | Ep_Loss: 3.5156
Ep:  109 | Ep_r:  1.0 | Steps:  46 | Total Steps:  4427 | Ep_Loss: 5.3698
Ep:  110 | Ep_r:  1.0 | Steps:  54 | Total Steps:  4482 | Ep_Loss: 6.1876
Ep:  111 | Ep_r:  1.0 | Steps:  29 | Total Steps:  4512 | Ep_Loss: 3.6111
Ep:  112 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4518 | Ep_Loss: 0.7352
Ep:  113 | Ep_r:  0.0 | Steps:  26 | Total Steps:  4545 | Ep_Loss: 2.9962
Ep:  114 | Ep_r:  1.0 | Steps:  42 | Total Steps:  4588 | Ep_Loss: 5.0201
Ep:  115 | Ep_r:  1.0 | Steps:  58 | Total Steps:  4647 | Ep_Loss: 6.8300
Ep:  116 | Ep_r:  0.0 | Steps:  22 | Total Steps:  4670 | Ep_Loss: 2.8712
Ep:  117 | Ep_r:  1.0 | Steps:  26 | Total Steps:  4697 | Ep_Loss: 2.9982
Ep:  118 | Ep_r:  1.0 | Steps:  102 | Total Steps:  4800 | Ep_Loss: 12.3199
Ep:  119 | Ep_r:  1.0 | Steps:  97 | Total Steps:  4898 | Ep_Loss: 12.3179
Ep:  120 | Ep_r:  1.0 | Steps:  78 | Total Steps:  4977 | Ep_Loss: 10.8199
Ep:  121 | Ep_r:  1.0 | Steps:  46 | Total Steps:  5024 | Ep_Loss: 7.1696
Ep:  122 | Ep_r:  0.0 | Steps:  25 | Total Steps:  5050 | Ep_Loss: 4.2326
Ep:  123 | Ep_r:  1.0 | Steps:  97 | Total Steps:  5148 | Ep_Loss: 15.1745
Ep:  124 | Ep_r:  0.0 | Steps:  15 | Total Steps:  5164 | Ep_Loss: 2.0325
Ep:  125 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5170 | Ep_Loss: 0.9009
Ep:  126 | Ep_r:  0.0 | Steps:  22 | Total Steps:  5193 | Ep_Loss: 3.6201
